gene	chain	n	x	y	ci_lower	ci_upper	functionality
TRAJ1	AJ	1	3	0.000758482201267			ORF
TRAJ10	AJ	136	3	3.0857424575189647	2.9141938640736456	3.257291050964284	F
TRAJ11	AJ	135	3	0.04727585394207922	0.04277205168299648	0.05177965620116196	F
TRAJ12	AJ	134	3	0.07028773519812108	0.0650500519197748	0.07552541847646736	F
TRAJ13	AJ	137	3	3.2699223507785615	3.0795231842273463	3.4603215173297768	F
TRAJ14	AJ	9	3	0.0013809902760525778	-0.0005233160472407363	0.003285296599345892	F
TRAJ15	AJ	137	3	4.0320523581525025	3.2711482505598255	4.7929564657451795	F
TRAJ16	AJ	136	3	2.0173198804513524	1.8597975661753319	2.174842194727373	F
TRAJ17	AJ	135	3	2.4985427789137047	2.3790203270741377	2.6180652307532717	F
TRAJ18	AJ	134	3	0.08056630769990744	0.06189269720112539	0.09923991819868949	F
TRAJ2	AJ	1	3	0.0010864693819347			ORF
TRAJ20	AJ	136	3	3.8680418135131713	3.7002328216897205	4.035850805336622	F
TRAJ21	AJ	136	3	1.9851203740681749	1.8433294126470183	2.1269113354893316	F
TRAJ22	AJ	136	3	0.1309681966146853	0.12061469725109403	0.1413216959782766	F
TRAJ23	AJ	134	3	3.9863009523215513	3.681569882350972	4.29103202229213	F
TRAJ24	AJ	134	3	0.057361177170379	0.05071461144947279	0.06400774289128522	F
TRAJ25	AJ	95	3	0.01783215213841909	0.013197350094083779	0.0224669541827544	ORF
TRAJ26	AJ	134	3	0.15069702555209472	0.13414946898440228	0.16724458211978716	F
TRAJ27	AJ	137	3	2.6260535541940633	2.4564699116878077	2.795637196700319	F
TRAJ28	AJ	138	3	2.2445988258568006	2.12939281419247	2.359804837521131	F
TRAJ29	AJ	138	3	4.026140710362068	3.7421448222704896	4.310136598453646	F
TRAJ3	AJ	134	3	2.6305135200142056	2.4343524625537682	2.826674577474643	F
TRAJ30	AJ	135	3	4.4579234420363525	4.012942053685278	4.902904830387427	F
TRAJ31	AJ	136	3	4.208410455239542	3.950070269163122	4.4667506413159614	F
TRAJ32	AJ	139	3	2.0806112557880097	1.9563701039726864	2.204852407603333	F
TRAJ33	AJ	135	3	0.06462481155774759	0.059115474497452	0.07013414861804318	F
TRAJ34	AJ	136	3	4.3120795605461435	3.7847347579878106	4.839424363104476	F
TRAJ35	AJ	134	3	0.030706659069882233	0.027609326578559953	0.03380399156120451	F
